unique_id|competitor_name|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|price_per_unit|currency|breadcrumb|pdp_url|fat_%|variants|product_description|instructions|storage_instructions|country_of_origin|allergens|nutritional_score|organictype|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|file_name_4|image_url_4|file_name_5|image_url_5|file_name_6|image_url_6|upc|ingredients|servings_per_pack
6221|dirk|2025-03-27|Melkunie Milkshake banaan|Melkunie||200|ml|Home|Boodschappen|Zuivel & kaas|Zuiveldranken|Melkunie milkshake banaan|0.89|0.89||||||||||Home>Boodschappen>Zuivel & kaas>Zuiveldranken>Melkunie milkshake banaan|https://www.dirk.nl/boodschappen/zuivel-kaas/zuiveldranken/melkunie%20milkshake%20banaan/6221|||Melkdrank met banaansmaak, UHT.|30 seconden schudden.|Ten minste houdbaar tot: zie bodem van de beker. Na openen gekoeld bewaren (max. 7°C) en beperkt houdbaar.||Bevat Melk(eiwit)||Non-Organic|6221_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/116323_1_343802_638306011583024473.png||||||||||||Ingrediënten: Halfvolle MELK, suiker, MELKbestanddelen, stabilisatoren: carrageen, gellangom en guarpitmeel, natuurlijk aroma|
44282|dirk|2025-03-27|Melkan Drinkyoghurt rood fruit|Melkan||1|liter|Home|Boodschappen|Zuivel & kaas|Zuiveldranken|Melkan drinkyoghurt rood fruit|1.18|1.18||||||||||Home>Boodschappen>Zuivel & kaas>Zuiveldranken>Melkan drinkyoghurt rood fruit|https://www.dirk.nl/boodschappen/zuivel-kaas/zuiveldranken/melkan%20drinkyoghurt%20rood%20fruit/44282|||Magere drinkyoghurt met rode vruchtensap en zoetstoffen, door verhitting langer houdbaar gemaakt.Dit product bevat van nature aanwezige suikers.|Schudden voor gebruik.|Koel en droog bewaren. Na opening beperkt houdbaar in de koeling (<7°C)||Bevat Melk(eiwit)||Non-Organic|44282_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/114478_1_398217_638186211567393375.png||||||||||||Ingrediënten: 55 % gefermenteerde mager MELK , vloeibare MELKBESTANDDELEN, 1% vruchtensap (0,3% framboos, 0,2% aardbei, appel, 0,1% zwarte bes), stabilisator: guarpitmeel/pectine, zwartewortelsap, natuurlijke aroma, zoetstof: sucralose/saccharine.|
45368|dirk|2025-03-27|Melkan Drinkyoghurt rode vruchten|Melkan||6|x|Home|Boodschappen|Zuivel & kaas|Zuiveldranken|Melkan drinkyoghurt rode vruchten|1.99|1.99||||||||||Home>Boodschappen>Zuivel & kaas>Zuiveldranken>Melkan drinkyoghurt rode vruchten|https://www.dirk.nl/boodschappen/zuivel-kaas/zuiveldranken/melkan%20drinkyoghurt%20rode%20vruchten/45368|||Magere drinkyoghurt met rode vruchtensmaak en zoetstoffen, door verhitting langer houdbaar gemaakt|Schudden voor gebruik. Schudden voor gebruik|Na openen gekoeld bewaren (max. 7 °C) en beperkt houdbaar||Bevat Melk(eiwit), Bevat Lactose||Non-Organic|45368_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/57626_1_399308_637548354131997379.png||||||||||||Ingrediënten :55% gefermenteerde magere MELK, vloeibare MELKBESTANDDELEN, 1% vruchtensap uit concentraat (appel, 30% framboos, 20% aardbei, 10% zwarte bes), stabilisator: guarpitmeel/pectinen, zwarte wortelsapconcentraat, natuurlijk aroma, zoetstof: sucralose/sacharine.|
71890|dirk|2025-03-27|Melkan Drinkyoghurt aardbei|Melkan||1|liter|Home|Boodschappen|Zuivel & kaas|Zuiveldranken|Melkan drinkyoghurt aardbei|1.18|1.18||||||||||Home>Boodschappen>Zuivel & kaas>Zuiveldranken>Melkan drinkyoghurt aardbei|https://www.dirk.nl/boodschappen/zuivel-kaas/zuiveldranken/melkan%20drinkyoghurt%20aardbei/71890|||Magere drinkyoghurt met aardbeiensmaak, door verhitting langer houdbaar gemaakt|Schudden voor gebruik. Schudden voor gebruik.|Na openen gekoeld bewaren (max. 7 °C) en beperkt houdbaar||Bevat Melk(eiwit), Bevat Lactose||Non-Organic|71890_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/81289_1_427790_638168967821476527.png||||||||||||Ingrediënten :60% gefermenteerde magere MELK, vloeibare MELKBESTANDDELEN, suiker, dextrose, 1,0% aardbeiensap uit concentraat, stabilisator: pectinen/guarpitmeel, natuurlijke aroma’s, zwarte wortelsapconcentraat, kleurstof: carotenen.|
72337|dirk|2025-03-27|Melkan Drinkyoghurt aardbei|Melkan||6|x|Home|Boodschappen|Zuivel & kaas|Zuiveldranken|Melkan drinkyoghurt aardbei|1.93|1.93||||||||||Home>Boodschappen>Zuivel & kaas>Zuiveldranken>Melkan drinkyoghurt aardbei|https://www.dirk.nl/boodschappen/zuivel-kaas/zuiveldranken/melkan%20drinkyoghurt%20aardbei/72337|||Magere drinkyoghurt met aardbeiensmaak, door verhitting langer houdbaar gemaakt|Schudden voor gebruik. Schudden voor gebruik|Na openen gekoeld bewaren (max. 7 °C) en beperkt houdbaar||Bevat Melk(eiwit), Bevat Lactose||Non-Organic|72337_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/108322_1_427980_637828700199496980.png||||||||||||Ingrediënten :60% Gefermenteerde magere MELK, vloeibare MELKBESTANDDELEN, suiker, dextrose, 1% aardbeiensap uit concentraat, stabilisator: pectinen/guarpitmeel, natuurlijke aroma’s, zwarte wortelsapconcentraat, kleurstof: carotenen.|
72459|dirk|2025-03-27|Melkan Drinkyoghurt perzik|Melkan||1|liter|Home|Boodschappen|Zuivel & kaas|Zuiveldranken|Melkan drinkyoghurt perzik|1.18|1.18||||||||||Home>Boodschappen>Zuivel & kaas>Zuiveldranken>Melkan drinkyoghurt perzik|https://www.dirk.nl/boodschappen/zuivel-kaas/zuiveldranken/melkan%20drinkyoghurt%20perzik/72459|||Magere drinkyoghurt met perziksmaak, door verhitting langer houdbaar gemaakt|Schudden voor gebruik. Schudden voor gebruik.|Na openen gekoeld bewaren (max. 7 °C) en beperkt houdbaar||Bevat Melk(eiwit), Bevat Lactose||Non-Organic|72459_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/183935_1_429096_638448186446318387.png||||||||||||Ingrediënten :60% gefermenteerde magere MELK, vloeibare MELKBESTANDDELEN, suiker, dextrose, 1% perziksap uit concentraat, stabilisator: pectinen/guarpitmeel, natuurlijke aroma’s, kleurstof: carotenen.|
91383|dirk|2025-03-27|Douwe Egberts Ijskoffie cappuccino|Douwe Egberts||250|ml|Home|Boodschappen|Zuivel & kaas|Zuiveldranken|Douwe egberts ijskoffie cappuccino|1.29|1.29||||||||||Home>Boodschappen>Zuivel & kaas>Zuiveldranken>Douwe egberts ijskoffie cappuccino|https://www.dirk.nl/boodschappen/zuivel-kaas/zuiveldranken/douwe%20egberts%20ijskoffie%20cappuccino/91383|||Koffiedrank met melk en koffiesmaak hittebehandeld|Na opening snel consumeren. Goed schudden.|Donker en droog bewaren.||Bevat Melk(eiwit)||Non-Organic|91383_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/163951_1_448688_638324633294793515.png||||||||||||Ingrediënten: MELK met 1,4% vet (64,5%), koffie (water, oploskoffie (0,9%)), suiker, aroma, stabilisatoren (E460, E466, E407),zuurteregelaars (E332, E500).|
91384|dirk|2025-03-27|Douwe Egberts IJskoffie mocha latte|Douwe Egberts||250|ml|Home|Boodschappen|Zuivel & kaas|Zuiveldranken|Douwe egberts ijskoffie mocha latte|1.39|1.39||||||||||Home>Boodschappen>Zuivel & kaas>Zuiveldranken>Douwe egberts ijskoffie mocha latte|https://www.dirk.nl/boodschappen/zuivel-kaas/zuiveldranken/douwe%20egberts%20ijskoffie%20mocha%20latte/91384|||Koffiedrank met melk en koffiesmaak hittebehandeld.||Ten minste houdbaar tot: zie bodem blik. Donker en droog bewaren. Na opening snel consumeren.||Bevat Melk(eiwit)||Non-Organic|91384_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/153264_1_448689_638324634825849884.png||||||||||||MELK met 1,4% vet (74,5%), koffie (water, oploskoffie (0,78%)), suiker, aroma, stabilisatoren (E460, E466, E407), zuurteregelaars (E332, E500)|
103780|dirk|2025-03-27|Melkunie Vanilla drink protein|Melkunie||1|liter|Home|Boodschappen|Dranken, sap, koffie & thee|Houdbare zuivel|Melkunie vanilla drink protein|3.65|3.65||||||||||Home>Boodschappen>Dranken, sap, koffie & thee>Houdbare zuivel>Melkunie vanilla drink protein|https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/houdbare-zuivel/melkunie%20vanilla%20drink%20protein/103780|||Lactosevrije* Melkdrank met Vanillesmaak, UHT. *Lactosegehalte <0,01 g / 100 ml||Na openen gekoeld bewaren (max. 7°C) en beperkt houdbaar. Ten minste houdbaar tot: zie datum bovenkant.||Vrij van Lactose, Bevat Melk(eiwit)||Non-Organic|103780_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/180983_1_463548_638460930469792679.png||||||||||||95% magere MELK, melkeiwit, suiker, stabilisators: gellangom, carrageen en trinatriumcitraat, natuurlijk aroma, lactase|
103790|dirk|2025-03-27|Bonomel Yoghurtdrink perzik 6 pack|Bonomel||||Home|Boodschappen|Zuivel & kaas|Zuiveldranken|Bonomel yoghurtdrink perzik 6 pack|5.94|5.94||||||||||Home>Boodschappen>Zuivel & kaas>Zuiveldranken>Bonomel yoghurtdrink perzik 6 pack|https://www.dirk.nl/boodschappen/zuivel-kaas/zuiveldranken/bonomel%20yoghurtdrink%20perzik%206%20pack/103790|||||||||Non-Organic|103790_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/184700_1_463853_638452479683031912.png|||||||||||||
